clus,pois,latitude,longitude,time,categories
160,Auditorium_FLOG,43.79595,11.24805278,2400,teatridifirenze
161,Fonte_del_Leone,43.76555,11.25047778,126.2916667,fontanedifirenze;palazzidifirenze
162,Palazzo_Dal_Borgo,43.77375833,11.248225,1168.4,palazzidifirenze
163,Fontana_del_Nettuno_(Firenze);Piazza_della_Signoria,43.76955556,11.25593056,372.0677458,operedigiambologna;piazzedifirenze;fontanedifirenze;scultureafirenze
164,Palazzo_Demidoff-Amici,43.764725,11.26057222,596.9130435,palazzidifirenze
165,Kaffeehaus_del_Giardino_di_Boboli,43.76425556,11.25256389,133.6571429,boboli;architetturedifirenze
166,Biblioteca_Moreniana;Biblioteca_Riccardiana,43.77545278,11.25553611,120,bibliotechedifirenze;bibliotechedifirenze
167,Palazzo_Della_Stufa,43.77538611,11.2544,233.6455696,palazzidifirenze
168,Basilica_di_Santo_Spirito,43.76763889,11.24843611,120,monumentidifirenze;architetturedifirenze;basilichedifirenze
169,Palazzo_Sertini,43.77218056,11.25216111,134.0454545,palazzidifirenze
170,Sede_della_Rari_Nantes_Florentia,43.76403611,11.27658889,120,piscinedifirenze;r.n.florentia
172,Pia_Casa_di_Lavoro_di_Montedomini,43.76770556,11.26739722,120,ospedalidifirenze
173,Palazzo_Malenchini_Alberti,43.767075,11.258975,120,palazzidifirenze
174,Chiesa_di_San_Donato_in_Scopeto,43.76122222,11.23778333,120,chiesedifirenze
175,Torre_degli_Alepri;Palazzo_dei_Cerchi,43.77028611,11.25587222,216.1698113,torridifirenze;palazzidifirenze
176,Via_Bufalini;Palazzo_Compagni,43.77349167,11.25895556,120,palazzidifirenze;stradedifirenze
177,Cappella_Barbadori,43.76689722,11.25245833,120,dipintiafirenze;cappelledifirenze;architetturedifirenze
178,Ospedale_Bonifacio,43.78114444,11.25948889,378.125,ospedalidifirenze;palazzidifirenze
179,Piazza_San_Benedetto;Chiesa_di_San_Benedetto_(Firenze),43.77225556,11.25716944,286.0526316,piazzedifirenze;chiesedifirenze
180,Palazzo_Capponi-Covoni,43.77534167,11.25655,2400,palazzidifirenze;residenze
181,Palazzo_Bastogi,43.77597222,11.25708056,120,palazzidifirenze
182,Palazzo_Bartolommei_(via_Cavour),43.77629167,11.25729722,391,palazzidifirenze
183,Ex_convento_di_Santa_Caterina,43.77793056,11.25784722,126.5714286,palazzidifirenze;chiesedifirenze
184,Palazzo_Durazzo,43.77554167,11.25991667,120,palazzidifirenze
185,Palazzo_di_Sforza_Almeni,43.77456944,11.25871944,120,palazzidifirenze
186,Palazzo_Pasqui,43.77412778,11.25828611,120,palazzidifirenze
187,Via_de'_Macci,43.76976667,11.26575,120,stradedifirenze
188,Via_del_Proconsolo,43.77111389,11.25806944,141.375,stradedifirenze
189,Via_Guicciardini,43.76694722,11.25178889,417.3030303,stradedifirenze
